cell	nCount_SCT	nFeature_SCT	seurat_clusters
X131_191	23757	4507	2
X130_186	23771	4990	2
X149_171	25008	6251	8
X163_180	23704	4192	1
X159_181	25191	5980	10
X145_187	23695	5217	5
X137_192	23714	4472	7
X121_180	23738	4766	4
X148_179	24982	6448	8
X132_166	23742	5168	4
X128_189	24122	5414	0
X147_160	25081	6278	0
X138_180	23716	4331	7
X159_174	25095	6301	11
X139_166	24377	5202	12
X128_181	23696	5185	2
X149_166	24356	5906	0
X131_194	23742	4964	6
X127_193	24006	4135	3
X135_164	25191	6259	9
X135_175	23656	4656	6
X132_177	23695	5107	2
X153_176	25120	6588	11
X149_160	25087	6277	0
X127_183	23706	5076	2
X140_181	23754	4657	7
X121_173	25204	6026	3
X162_175	24007	5513	10
X145_177	25060	6544	5
X116_180	25309	5647	3
X117_192	23761	4909	3
X124_182	23736	5263	2
X146_172	25246	5941	5
X134_179	24833	5555	7
X156_176	24279	5973	11
X136_165	24796	6124	9
X140_169	25313	5872	6
X134_193	25158	6242	6
X145_170	25345	6179	6
X144_186	23685	5091	5
X118_182	23911	5232	9
X121_182	23665	5254	4
X144_180	24066	5641	8
X163_177	24032	5459	10
X129_194	24165	5537	3
X135_190	25163	4713	12
X165_178	25253	5677	10
X153_184	25155	6630	8
X133_172	23698	4967	13
X124_169	24181	5293	3
X122_170	24982	6105	3
X115_184	25194	6399	3
X122_179	23650	5239	4
X133_187	23688	5146	7
X127_189	23818	4791	2
X128_184	25172	5581	2
X153_171	25197	6172	0
X146_178	23770	5454	8
X137_158	23783	4025	1
X142_174	23692	5029	6
X138_167	24731	5495	12
X154_182	25181	6512	8
X144_173	25267	5656	5
X121_178	23878	4742	4
X140_165	24971	6394	4
X133_160	24103	3783	1
X144_172	25183	6220	0
X121_194	23738	5137	3
X145_175	25210	5696	5
X130_174	23623	5151	13
X162_172	25210	6098	10
X157_180	24925	6186	5
X149_178	24251	6207	8
X159_177	24139	5762	11
X146_169	25324	6128	6
X149_162	25033	6559	0
X137_169	23834	5036	2
X128_172	23674	5015	4
X122_193	23684	4731	3
X133_188	23724	5110	7
X133_164	25277	5766	4
X138_160	23935	5461	3
X151_184	25164	6577	8
X163_175	24947	6384	10
X158_171	23692	4340	1
X152_173	24680	5929	8
X136_186	25063	5278	7
X116_178	25168	5717	3
X154_176	24970	6379	11
X152_183	24727	6239	8
X128_164	25190	6329	3
X115_179	23722	4119	3
X146_170	25276	5939	6
X132_170	24221	5392	2
X136_160	24160	5563	3
X153_189	25270	5757	5
X127_168	25187	6164	4
X127_182	24281	5546	2
X129_174	23735	4721	2
X142_184	23681	4523	7
X139_187	24314	4438	12
X130_167	23671	5080	4
X156_182	25012	6449	8
X152_175	24341	5874	8
X128_188	23739	5004	2
X146_162	25102	6446	0
X143_169	23978	5439	2
X126_187	23799	4986	2
X127_172	23684	4556	4
X151_168	24016	4072	0
X131_162	25243	5852	3
X141_192	23708	4371	6
X163_179	25123	6472	10
X138_169	25265	6091	6
X129_168	23734	4843	4
X126_177	23686	4970	0
X141_160	24042	5517	3
X149_187	25157	6188	5
X124_184	23722	5292	2
X135_195	25290	5687	0
X127_185	25338	5824	2
X130_178	25112	5590	2
X139_194	23468	4395	1
X141_167	25290	6066	6
X128_194	25028	5676	3
X163_176	24075	5657	10
X118_188	25184	5987	9
X150_168	23689	5065	0
X129_178	25314	5755	2
X162_173	24476	5914	10
X134_163	24007	5052	9
X139_168	25196	6104	1
X151_182	25184	6611	8
X131_192	23782	4410	4
X132_173	23741	4932	13
X123_176	23717	4950	0
X115_182	25122	6435	3
X148_163	25153	6462	1
X144_160	24989	6226	3
X128_192	24155	4192	4
X145_173	25164	6185	5
X155_182	25172	6221	8
X136_159	25063	5959	1
X119_183	23881	5260	9
X137_173	23742	4808	6
X138_178	23732	4518	7
X123_179	24980	5612	0
X128_171	23734	4820	4
X137_189	25046	4395	12
X135_181	24491	5360	7
X118_175	23980	5099	3
X146_189	25234	5728	5
X139_169	25280	5837	6
X128_178	24911	5579	2
X140_174	23807	4720	6
X145_185	25287	5536	5
X122_190	23833	4060	9
X130_195	23704	5080	3
X130_193	23790	4707	1
X154_183	25191	6284	8
X139_182	23973	4099	7
X135_196	23969	3964	0
X125_195	23763	4660	3
X122_195	23421	3830	1
X152_164	23782	3888	0
X158_174	25226	6546	11
X140_176	23787	4583	7
X143_178	25205	5838	5
X153_168	23157	4533	1
X126_189	23946	4400	4
X142_192	23910	5189	6
X143_172	25296	5679	6
X135_187	25057	5233	12
X133_189	23774	4573	7
X139_160	23860	5432	3
X144_192	23709	5142	0
X143_168	25080	6088	5
X145_179	25292	6173	8
X141_180	23938	5232	7
X140_167	25247	5983	5
X131_166	25187	6025	4
X150_181	25094	6500	8
X134_161	24332	5642	3
X137_165	24970	6426	9
X122_169	25248	5991	3
X148_192	25164	6353	0
X143_193	25212	5649	0
X127_188	23741	5098	2
X149_179	24175	6140	8
X147_180	24991	6442	8
X122_180	23698	5220	2
X141_183	23730	4609	7
X129_181	25281	5647	2
X162_179	25131	6442	10
X140_183	23806	4516	7
X157_187	23927	5275	0
X141_168	25273	6068	6
X117_177	25116	6127	6
X125_180	25292	5816	2
X125_183	23660	5250	2
X131_187	25280	5468	12
X137_176	23732	4936	7
X134_182	23901	5427	2
X139_165	25241	6087	4
X141_161	25233	6512	3
X130_185	24067	4432	2
X132_196	23408	3960	1
X148_171	25099	6351	8
X126_175	23842	4053	0
X135_197	22669	6326	1
X150_182	25046	6520	8
X145_167	25222	6221	5
X140_193	23429	3791	6
X154_173	25277	6124	0
X124_191	24095	4213	4
X141_165	25206	5534	4
X127_170	23969	5426	4
X131_168	25298	5713	3
X163_178	25193	6483	10
X153_186	25256	6347	5
X153_170	23857	5334	0
X146_161	24651	6130	3
X136_177	23712	4904	7
X147_170	25179	6437	6
X129_186	23774	4943	2
X146_168	24501	5780	0
X149_189	25293	5873	5
X134_189	25157	4714	12
X151_193	24918	5424	0
X135_170	24472	5435	2
X149_191	23719	5044	5
X144_175	25170	6065	5
X148_167	24697	6290	0
X122_194	25214	6136	3
X150_169	25121	6414	0
X129_163	24894	5320	3
X138_173	23746	4745	6
X126_165	25270	5543	3
X131_185	23699	5052	2
X152_184	25224	6694	8
X149_174	24301	5982	8
X120_181	23676	4661	4
X118_176	25198	5912	3
X125_185	23980	5462	2
X161_172	25132	6341	10
X115_186	25297	5771	3
X120_180	23829	4789	4
X129_166	24127	5445	4
X138_192	23697	5115	6
X136_175	23704	5088	6
X114_186	25299	5561	3
X138_181	24060	4061	7
X118_174	23758	4178	6
X127_180	24397	5464	2
X137_181	23743	4252	7
X151_187	25183	6243	5
X148_164	24969	6318	5
X155_174	24460	5680	5
X145_194	23703	3851	0
X117_182	23717	4742	9
X145_178	25329	6095	5
X146_184	23727	4784	5
X145_161	25117	6531	3
X139_186	24721	4876	7
X132_178	23691	5326	2
X147_193	23792	3817	1
X154_172	25021	5516	0
X154_178	24967	6407	11
X146_174	24691	5611	5
X132_182	23735	5142	2
X137_164	24711	5885	9
X124_194	25094	6403	3
X126_182	23672	5420	2
X133_180	23818	5402	2
X131_171	23797	5482	2
X138_162	25046	6338	9
X142_159	25257	5421	1
X116_191	25053	5220	3
X119_186	25091	5788	9
X134_183	23631	5224	7
X123_191	23833	4549	4
X120_185	24793	5562	9
X135_185	25277	5427	7
X157_188	23681	4972	0
X131_183	24348	5268	2
X139_185	23812	4814	7
X121_184	23917	5466	1
X155_180	25142	6423	5
X137_174	23706	4943	6
X164_179	25250	5766	10
X133_178	23801	4651	2
X153_177	24920	6354	11
X144_191	23807	4493	1
X137_191	25115	4455	12
X135_163	25201	6346	9
X151_171	24116	5774	8
X131_164	23720	4917	4
X144_164	25150	6551	4
X127_194	25319	5821	3
X139_188	24882	4411	12
X119_191	23653	4195	9
X140_179	23774	4664	7
X133_193	25245	5252	12
X145_160	25120	6294	3
X143_165	24989	6306	4
X126_172	23728	4744	4
X126_191	23829	3976	4
X138_177	23704	4646	7
X137_183	23789	4390	7
X123_184	23729	5115	2
X117_185	23726	5078	9
X164_178	25047	6309	10
X128_175	24100	4242	2
X138_186	24987	5686	7
X160_178	24991	6324	11
X137_193	25282	5685	6
X115_180	25035	6070	3
X135_194	25200	5971	6
X141_178	23697	4975	7
X152_170	25224	6333	0
X123_186	25248	5357	12
X140_180	23730	4786	7
X159_173	25133	6473	10
X147_173	25016	6652	8
X127_176	23805	4549	0
X136_185	25217	5517	7
X125_186	23780	4921	2
X142_177	24923	5633	1
X146_173	25309	5944	5
X123_185	23682	5205	2
X143_159	25031	5183	1
X146_175	24422	5554	5
X140_158	23798	3609	1
X117_191	25167	6365	3
X123_189	23811	3942	4
X134_187	23889	4871	7
X137_186	25241	5387	7
X137_182	23741	4668	7
